Scan Date,Scan Time,Target Type,Target Name,Number,Rule,Severity,Result
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify Group Who Owns The OpenShift Container Network Interface Files,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify Group Who Owns The OpenShift SDN Container Network Interface Plugin IP Address Allocations,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify Group Who Owns The OpenShift Multus Container Network Interface Plugin Files,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify Group Who Owns The OVNKubernetes Socket,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify Group Who Owns The OVNKubernetes DB files,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify User Who Owns The OpenShift Container Network Interface Files,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify User Who Owns The OpenShift SDN Container Network Interface Plugin IP Address Allocations,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify User Who Owns The OpenShift Multus Container Network Interface Plugin Files,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify User Who Owns The OVNKubernetes Socket,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.10,Verify Who Owns The OVNKubernetes DB files,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.11,Verify Permissions on the Etcd Database Directory,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.11,Verify Permissions on the Etcd Write-Ahead-Log Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.12,Verify Group Who Owns The Etcd Database Directory,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.12,Verify Group Who Owns The Etcd Write-Ahead-Log Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.12,Verify User Who Owns The Etcd Database Directory,medium,notapplicable
